x,y
3666.09,1627.34
3665.68,1625.89
3662.98,1621.96
3656.71,1616.46
3647.35,1610.77
3638.07,1606.16
3634.92,1604.77
3631.09,1603.07
3619.41,1598.45
3601.72,1592.23
3581.96,1586.11
3560.27,1580.11
3536.73,1574.25
3511.49,1568.52
3484.65,1562.95
3456.33,1557.54
3426.64,1552.3
3395.71,1547.26
3363.65,1542.41
3330.58,1537.77
3296.61,1533.36
3261.86,1529.17
3226.44,1525.23
3190.48,1521.55
3154.08,1518.13
3117.38,1515
3080.47,1512.15
3043.48,1509.6
3006.54,1507.37
2969.73,1505.46
2933.21,1503.88
2897.07,1502.66
2861.43,1501.79
2826.41,1501.29
2792.12,1501.18
2758.69,1501.45
2726.23,1502.13
2694.85,1503.23
2664.68,1504.75
2643.03,1506.16
2635.82,1506.72
2623.98,1507.64
2588.5,1510.8
2539.81,1515.76
2490.46,1521.51
2441.16,1527.95
2392.6,1534.98
2345.48,1542.51
2300.52,1550.44
2268.9,1556.5
2258.4,1558.67
2254.06,1559.57
2241.02,1562.13
2226.26,1564.8
2214,1566.68
2204.1,1567.77
2196.46,1568.11
2190.96,1567.68
2187.48,1566.51
2186.06,1565.15
2185.9,1564.61
2185.54,1563.44
2184.51,1559.54
2182.63,1552.04
2180.5,1543.13
2178.91,1536.16
2178.4,1533.83
2177.42,1529.42
2173.57,1516.41
2166.67,1497.99
2157.88,1478.89
2147.39,1459.45
2135.4,1439.99
2122.09,1420.85
2107.66,1402.36
2096.27,1389.1
2092.3,1384.84
2049.22,1338.59
2119.77,1248.59
2126.19,1240.39
2145.29,1215.68
2169.65,1183.54
2192.95,1151.99
2215.3,1120.86
2236.81,1089.98
2257.59,1059.16
2277.74,1028.24
2297.37,997.035
2316.6,965.371
2335.53,933.07
2354.27,899.961
2372.92,865.867
2391.61,830.613
2410.43,794.023
2429.49,755.918
2444.1,726.098
2448.91,716.129
2454.02,705.531
2469.1,673.625
2488.78,630.93
2507.9,588.211
2526.38,545.621
2544.18,503.324
2561.23,461.477
2577.47,420.246
2592.84,379.785
2607.29,340.254
2620.75,301.82
2633.16,264.637
2644.46,228.867
2654.6,194.668
2663.51,162.207
2671.14,131.637
2675.96,110.27
2677.42,103.121
2678.52,97.7031
2681.63,81.418
2684.85,62.3516
2687.04,45.8945
2688.14,32.0234
2688.13,20.7148
2686.96,11.9375
2684.57,5.66797
2680.95,1.88281
2676.03,0.554688
2669.78,1.66016
2662.16,5.17578
2653.12,11.0703
2642.62,19.3203
2630.62,29.9063
2617.08,42.7969
2605.69,54.1367
2601.95,57.9688
2595.83,64.2266
2577.83,83.3672
2554.06,109.965
2530.19,138.316
2505.79,168.988
2480.43,202.539
2453.67,239.531
2425.08,280.527
2401.87,314.656
2394.22,326.09
2384.73,340.258
2356.68,383.047
2320.84,439.277
2286.63,494.859
2254.01,549.883
2222.95,604.438
2193.4,658.605
2165.32,712.48
2138.67,766.148
2113.4,819.695
2089.47,873.207
2066.85,926.773
2045.48,980.484
2025.32,1034.42
2006.34,1088.67
1988.48,1143.33
1975.77,1184.65
1971.72,1198.48
1946.84,1283.36
1908.83,1277.23
1903.67,1276.39
1888.08,1274.57
1865.09,1272.82
1840.96,1271.96
1816.81,1271.96
1793.77,1272.82
1772.93,1274.49
1755.43,1276.97
1745.54,1279.13
1742.38,1280.23
1719.61,1288.16
1684.14,1171.17
1678.12,1151.31
1658.97,1092.07
1631.96,1015
1602.81,939.273
1571.24,864.23
1536.95,789.203
1499.65,713.52
1459.04,636.508
1426.11,577.121
1414.84,557.5
1409.22,547.727
1392.15,518.547
1369.03,479.875
1345.57,441.633
1321.9,403.98
1298.12,367.066
1274.34,331.051
1250.67,296.086
1227.21,262.324
1204.08,229.926
1181.39,199.043
1159.24,169.828
1137.74,142.438
1117.01,117.027
1097.14,93.75
1078.26,72.7617
1065,58.7656
1060.47,54.2188
1057.04,50.7813
1046.63,40.6172
1034.16,28.9727
1023,19.2969
1013.14,11.6016
1004.52,5.89063
997.113,2.18359
990.887,0.484375
985.801,0.808594
981.82,3.16406
978.91,7.55859
977.035,14.0078
976.156,22.5234
976.242,33.1094
977.25,45.7813
979.152,60.5469
981.164,73.2109
981.91,77.4219
982.98,83.5
986.566,101.684
992.195,127.266
998.746,154.082
1006.19,182.047
1014.49,211.07
1023.6,241.07
1033.5,271.961
1044.13,303.656
1055.46,336.074
1067.46,369.125
1080.09,402.723
1093.3,436.785
1107.07,471.223
1121.36,505.953
1136.13,540.891
1151.32,575.953
